y,ds
279,06/11/2012
371,06/11/2013
319,06/11/2014
378,06/11/2015
453,06/11/2016
296,06/12/2011
278,06/12/2012
363,06/12/2013
321,06/12/2014
366,06/12/2015
410,06/12/2016
312,06/13/2011
292,06/13/2012
285,06/13/2013
343,06/13/2014
433,06/13/2015
414,06/13/2016
323,06/14/2011
308,06/14/2012
347,06/14/2013
390,06/14/2014
401,06/14/2015
396,06/14/2016
306,06/15/2011
288,06/15/2012
376,06/15/2013
327,06/15/2014
334,06/15/2015
449,06/15/2016
293,06/16/2011
339,06/16/2012
353,06/16/2013
346,06/16/2014
348,06/16/2015
400,06/16/2016
316,06/17/2011
381,06/17/2012
299,06/17/2013
334,06/17/2014
379,06/17/2015
405,06/17/2016
298,06/18/2011
297,06/18/2012
321,06/18/2013
324,06/18/2014
380,06/18/2015
489,06/18/2016
280,06/19/2011
273,06/19/2012
297,06/19/2013
362,06/19/2014
431,06/19/2015
481,06/19/2016
233,06/20/2011
274,06/20/2012
275,06/20/2013
376,06/20/2014
385,06/20/2015
386,06/20/2016
303,06/21/2011
285,06/21/2012
302,06/21/2013
403,06/21/2014
433,06/21/2015
447,06/21/2016
266,06/22/2011
324,06/22/2012
319,06/22/2013
386,06/22/2014
389,06/22/2015
371,06/22/2016
291,06/23/2011
371,06/23/2012
306,06/23/2013
324,06/23/2014
410,06/23/2015
374,06/23/2016
294,06/24/2011
350,06/24/2012
297,06/24/2013
351,06/24/2014
378,06/24/2015
426,06/24/2016
275,06/25/2011
338,06/25/2012
291,06/25/2013
374,06/25/2014
387,06/25/2015
411,06/25/2016
298,06/26/2011
338,06/26/2012
324,06/26/2013
344,06/26/2014
386,06/26/2015
433,06/26/2016
274,06/27/2011
303,06/27/2012
305,06/27/2013
376,06/27/2014
420,06/27/2015
440,06/27/2016
247,06/28/2011
306,06/28/2012
350,06/28/2013
384,06/28/2014
404,06/28/2015
418,06/28/2016
290,06/29/2011
304,06/29/2012
328,06/29/2013
340,06/29/2014
398,06/29/2015
379,06/29/2016
329,06/30/2011
390,06/30/2012
361,06/30/2013
374,06/30/2014
360,06/30/2015
398,06/30/2016
313,07/01/2011
372,07/01/2012
295,07/01/2013
311,07/01/2014
395,07/01/2015
357,07/01/2016
356,07/02/2011
308,07/02/2012
292,07/02/2013
380,07/02/2014
355,07/02/2015
369,07/02/2016
328,07/03/2011
284,07/03/2012
344,07/03/2013
398,07/03/2014
454,07/03/2015
438,07/03/2016
298,07/04/2011
316,07/04/2012
351,07/04/2013
386,07/04/2014
435,07/04/2015
377,07/04/2016
367,07/05/2011
325,07/05/2012
328,07/05/2013
407,07/05/2014
364,07/05/2015
402,07/05/2016
257,07/06/2011
295,07/06/2012
315,07/06/2013
380,07/06/2014
359,07/06/2015
416,07/06/2016
290,07/07/2011
322,07/07/2012
283,07/07/2013
369,07/07/2014
343,07/07/2015
435,07/07/2016
311,07/08/2011
277,07/08/2012
288,07/08/2013
327,07/08/2014
354,07/08/2015
410,07/08/2016
287,07/09/2011
253,07/09/2012
303,07/09/2013
317,07/09/2014
373,07/09/2015
436,07/09/2016
291,07/10/2011
270,07/10/2012
325,07/10/2013
379,07/10/2014
371,07/10/2015
444,07/10/2016
256,07/11/2011
307,07/11/2012
348,07/11/2013
388,07/11/2014
417,07/11/2015
401,07/11/2016
274,07/12/2011
304,07/12/2012
303,07/12/2013
372,07/12/2014
370,07/12/2015
387,07/12/2016
256,07/13/2011
286,07/13/2012
378,07/13/2013
435,07/13/2014
362,07/13/2015
413,07/13/2016
266,07/14/2011
361,07/14/2012
320,07/14/2013
379,07/14/2014
370,07/14/2015
429,07/14/2016
299,07/15/2011
344,07/15/2012
318,07/15/2013
349,07/15/2014
365,07/15/2015
412,07/15/2016
310,07/16/2011
304,07/16/2012
274,07/16/2013
285,07/16/2014
379,07/16/2015
391,07/16/2016
321,07/17/2011
304,07/17/2012
285,07/17/2013
345,07/17/2014
427,07/17/2015
434,07/17/2016
326,07/18/2011
320,07/18/2012
354,07/18/2013
350,07/18/2014
429,07/18/2015
349,07/18/2016
282,07/19/2011
332,07/19/2012
351,07/19/2013
409,07/19/2014
390,07/19/2015
383,07/19/2016
317,07/20/2011
312,07/20/2012
378,07/20/2013
354,07/20/2014
349,07/20/2015
415,07/20/2016
308,07/21/2011
371,07/21/2012
337,07/21/2013
391,07/21/2014
374,07/21/2015
417,07/21/2016
336,07/22/2011
389,07/22/2012
352,07/22/2013
339,07/22/2014
383,07/22/2015
457,07/22/2016
324,07/23/2011
292,07/23/2012
303,07/23/2013
314,07/23/2014
409,07/23/2015
433,07/23/2016
309,07/24/2011
297,07/24/2012
322,07/24/2013
385,07/24/2014
385,07/24/2015
403,07/24/2016
231,07/25/2011
324,07/25/2012
333,07/25/2013
405,07/25/2014
438,07/25/2015
424,07/25/2016
238,07/26/2011
342,07/26/2012
308,07/26/2013
406,07/26/2014
432,07/26/2015
426,07/26/2016
279,07/27/2011
294,07/27/2012
350,07/27/2013
362,07/27/2014
450,07/27/2015
393,07/27/2016
315,07/28/2011
320,07/28/2012
285,07/28/2013
372,07/28/2014
382,07/28/2015
427,07/28/2016
279,07/29/2011
321,07/29/2012
273,07/29/2013
327,07/29/2014
322,07/29/2015
423,07/29/2016
327,07/30/2011
263,07/30/2012
301,07/30/2013
314,07/30/2014
414,07/30/2015
399,07/30/2016
298,07/31/2011
262,07/31/2012
322,07/31/2013
313,07/31/2014
377,07/31/2015
412,07/31/2016
253,08/01/2011
311,08/01/2012
332,08/01/2013
367,08/01/2014
403,08/01/2015
442,08/01/2016
293,08/02/2011
324,08/02/2012
374,08/02/2013
348,08/02/2014
368,08/02/2015
402,08/02/2016
314,08/03/2011
314,08/03/2012
385,08/03/2013
344,08/03/2014
375,08/03/2015
450,08/03/2016
300,08/04/2011
349,08/04/2012
291,08/04/2013
343,08/04/2014
388,08/04/2015
416,08/04/2016
346,08/05/2011
325,08/05/2012
293,08/05/2013
342,08/05/2014
424,08/05/2015
384,08/05/2016
336,08/06/2011
357,08/06/2012
346,08/06/2013
343,08/06/2014
377,08/06/2015
397,08/06/2016
323,08/07/2011
279,08/07/2012
311,08/07/2013
373,08/07/2014
407,08/07/2015
429,08/07/2016
259,08/08/2011
320,08/08/2012
331,08/08/2013
376,08/08/2014
443,08/08/2015
434,08/08/2016
324,08/09/2011
305,08/09/2012
355,08/09/2013
388,08/09/2014
361,08/09/2015
434,08/09/2016
291,08/10/2011
311,08/10/2012
294,08/10/2013
349,08/10/2014
393,08/10/2015
411,08/10/2016
330,08/11/2011
337,08/11/2012
337,08/11/2013
371,08/11/2014
360,08/11/2015
362,08/11/2016
308,08/12/2011
302,08/12/2012
300,08/12/2013
374,08/12/2014
348,08/12/2015
418,08/12/2016
270,08/13/2011
299,08/13/2012
300,08/13/2013
347,08/13/2014
401,08/13/2015
438,08/13/2016
316,08/14/2011
288,08/14/2012
338,08/14/2013
364,08/14/2014
412,08/14/2015
411,08/14/2016
344,08/15/2011
333,08/15/2012
325,08/15/2013
352,08/15/2014
387,08/15/2015
424,08/15/2016
292,08/16/2011
251,08/16/2012
346,08/16/2013
335,08/16/2014
383,08/16/2015
356,08/16/2016
298,08/17/2011
311,08/17/2012
387,08/17/2013
434,08/17/2014
414,08/17/2015
415,08/17/2016
314,08/18/2011
308,08/18/2012
342,08/18/2013
380,08/18/2014
367,08/18/2015
428,08/18/2016
318,08/19/2011
302,08/19/2012
314,08/19/2013
307,08/19/2014
345,08/19/2015
406,08/19/2016
331,08/20/2011
250,08/20/2012
304,08/20/2013
342,08/20/2014
370,08/20/2015
406,08/20/2016
302,08/21/2011
286,08/21/2012
363,08/21/2013
348,08/21/2014
390,08/21/2015
368,08/21/2016
310,08/22/2011
294,08/22/2012
327,08/22/2013
297,08/22/2014
376,08/22/2015
389,08/22/2016
285,08/23/2011
285,08/23/2012
350,08/23/2013
386,08/23/2014
337,08/23/2015
357,08/23/2016
315,08/24/2011
325,08/24/2012
350,08/24/2013
387,08/24/2014
329,08/24/2015
381,08/24/2016
292,08/25/2011
312,08/25/2012
280,08/25/2013
308,08/25/2014
362,08/25/2015
363,08/25/2016
313,08/26/2011
339,08/26/2012
356,08/26/2013
331,08/26/2014
376,08/26/2015
362,08/26/2016
310,08/27/2011
282,08/27/2012
307,08/27/2013
327,08/27/2014
352,08/27/2015
413,08/27/2016
320,08/28/2011
263,08/28/2012
337,08/28/2013
328,08/28/2014
423,08/28/2015
