ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2018-05-28,1.2341396622546783,419.2748127159066,392.6939416816233,467.94854878642485,414.0054708087547,424.40769896199447,9.36976355668759,9.36976355668759,-6.554520800724338,-6.554520800724338,-6.554520800724338,15.924284357411926,15.924284357411926,15.924284357411926,9.369763556687587,428.6445762725942
2018-05-29,1.234596074851666,419.3261023085977,387.63727698828086,464.4485927012432,414.04477310652067,424.46980267429876,6.504429945404622,6.504429945404622,-11.053446612516264,-11.053446612516264,-11.053446612516264,17.557876557920885,17.557876557920885,17.557876557920885,6.50442994540462,425.8305322540023
2018-05-30,1.2350524874486535,419.3773919012888,389.6235454142218,466.92439963489056,414.08441137722696,424.53998409957495,11.463256656563619,11.463256656563619,-7.692906342507138,-7.692906342507138,-7.692906342507138,19.15616299907076,19.15616299907076,19.15616299907076,11.46325665656362,430.8406485578524
2018-05-31,1.2355089000456412,419.4286814939798,399.1480485659652,475.23328354983363,414.12409086518556,424.60919783555875,17.363815605835644,17.363815605835644,-3.33555902990089,-3.33555902990089,-3.33555902990089,20.699374635736532,20.699374635736532,20.699374635736532,17.363815605835644,436.7924970998155
2018-06-01,1.2359653126426289,419.4799710866709,416.207706077695,493.44791598133054,414.1637703531441,424.6773384451338,36.1843093063723,36.1843093063723,14.015470267317978,14.015470267317978,14.015470267317978,22.168839039054316,22.168839039054316,22.168839039054316,36.18430930637229,455.6642803930432
2018-06-02,1.2364217252396166,419.53126067936205,416.9549981932788,490.3921268257696,414.2034498411028,424.7377295215769,38.29734926404414,38.29734926404414,14.74995887336747,14.74995887336747,14.74995887336747,23.547390390676668,23.547390390676668,23.547390390676668,38.297349264044136,457.8286099434062
2018-06-03,1.2368781378366043,419.58255027205314,406.93738530112984,481.20472731606344,414.2412678690638,424.8088654563707,24.690741583820884,24.690741583820884,-0.1289963550171001,-0.1289963550171001,-0.1289963550171001,24.81973793883799,24.81973793883799,24.81973793883799,24.690741583820888,444.27329185587405
2018-06-04,1.237334550433592,419.63383986474423,401.06093978018987,475.7326961665009,414.2777770186968,424.87953052819273,19.418263217460364,19.418263217460364,-6.554520800724778,-6.554520800724778,-6.554520800724778,25.972784018185145,25.972784018185145,25.972784018185145,19.418263217460368,439.0521030822046
2018-06-05,1.2377909630305797,419.6851294574353,397.7723009747815,473.19955104278836,414.31428616832983,424.95035464440014,15.942437571618996,15.942437571618996,-11.053446612514676,-11.053446612514676,-11.053446612514676,26.995884184133672,26.995884184133672,26.995884184133672,15.942437571618996,435.6275670290543
2018-06-06,1.2382473756275674,419.73641905012636,404.8000969722435,475.7592029013713,414.3507953179629,425.0219896137643,20.18813730372387,20.18813730372387,-7.692906342503069,-7.692906342503069,-7.692906342503069,27.881043646226942,27.881043646226942,27.881043646226942,20.188137303723874,439.9245563538502
2018-06-07,1.238703788224555,419.78770864281745,407.04862821705575,483.77772404830137,414.38730446759587,425.0934091955455,25.28748692687024,25.28748692687024,-3.3355590299453883,-3.3355590299453883,-3.3355590299453883,28.62304595681563,28.62304595681563,28.62304595681563,25.287486926870244,445.0751955696877
2018-06-08,1.2391602008215428,419.8389982355086,428.6059561879063,496.447196044981,414.42381361722886,425.16384694730823,43.234982037574426,43.234982037574426,14.015470267313189,14.015470267313189,14.015470267313189,29.21951177026124,29.21951177026124,29.21951177026124,43.234982037574426,463.073980273083
2018-06-09,1.2396166134185302,419.8902878281996,423.0429171797621,501.7468394986756,414.46032276686185,425.2209189025925,44.42084625516131,44.42084625516131,14.74995887336409,14.74995887336409,14.74995887336409,29.67088738179721,29.67088738179721,29.67088738179721,44.4208462551613,464.31113408336086
2018-06-10,1.240073026015518,419.9415774208907,411.44491844195767,487.0078978547185,414.4968319164949,425.2779612910603,29.85136827582146,29.85136827582146,-0.12899635504325052,-0.12899635504325052,-0.12899635504325052,29.98036463086471,29.98036463086471,29.98036463086471,29.85136827582146,449.7929456967122
2018-06-11,1.2405294386125056,419.9928670135819,409.0020785467625,482.43963392737857,414.5333410661279,425.335003679528,23.599214758529442,23.599214758529442,-6.554520800733764,-6.554520800733764,-6.554520800733764,30.153735559263204,30.153735559263204,30.153735559263204,23.599214758529442,443.5920817721113
2018-06-12,1.2409858512094933,420.0441566062729,401.1533770699366,473.98596177168315,414.56985021576094,425.4043623858241,19.14574028801734,19.14574028801734,-11.053446612518481,-11.053446612518481,-11.053446612518481,30.199186900535818,30.199186900535818,30.199186900535818,19.145740288017336,439.18989689429026
2018-06-13,1.241442263806481,420.095446198964,406.7282427803092,480.0310031686576,414.6063593653939,425.4766950670029,22.43413465527172,22.43413465527172,-7.692906342502368,-7.692906342502368,-7.692906342502368,30.12704099777409,30.12704099777409,30.12704099777409,22.43413465527172,442.52958085423575
2018-06-14,1.2418986764034687,420.1467357916551,408.84795538699046,483.61015490890816,414.6428685150269,425.54902774818163,26.613892032600976,26.613892032600976,-3.335559029932919,-3.335559029932919,-3.335559029932919,29.949451062533896,29.949451062533896,29.949451062533896,26.613892032600976,446.76062782425606
